pretty_formula,spacegroup.number,band_gap,density,volume,formation_energy_per_atom,nsites
KAl9O14,14,4.1426,3.1426457748658305,534.6489598015461,-3.364228622729167,48
K2Se2O,15,0.0974999999999999,3.3036825890517667,253.4435170632342,-0.9405359643875002,10
K2AgF4,14,0.6151000000000001,3.3439873695426106,260.2630836163177,-2.3718592760609525,14
Na2TeS3,14,1.7919,2.904618695480478,616.9087338725751,-1.000992673923611,24
K3Zn2Cl7,2,3.9024,2.3457051607057737,702.644831822473,-1.9094226464016668,24
NaWO4,2,0.7357,5.128049212833702,350.79181835342393,-1.848086210138889,24
Na2VO4,2,0.4121999999999999,2.5423081446117632,420.4237577404624,-2.053662820238096,28
Na(AsO2)2,15,0.3647,2.755922289298523,1141.5892646367984,-1.6215706747619048,56
NaSeO3,15,0.0352,2.8998469664015825,686.9175203566101,-1.3802338861354166,40
K4As2Se5,14,1.2066,3.085058383397619,1509.3371789309035,-0.8164196498835227,44
K4GeO4,2,2.7735,2.800433266573468,347.5098635093906,-1.9677137718888889,18
Li3AlF6,15,7.6904,2.60828782819132,618.0303691224941,-3.4999783658806667,60
Na2Ga2As3,14,1.0235000000000003,4.11725666777572,1323.4775227918608,-0.4108777557738098,56
NaCrF4,14,3.2291,3.135993316653476,319.780436925692,-3.094141104682221,24
Na6Ge2Se7,15,1.6,3.363289726986576,825.4470124760105,-0.8466231464270834,30
Na5SiAs3,14,0.7408999999999999,2.8870504494165585,846.1852149244673,-0.4234982854629628,36
K3AlSe3,14,2.3597,2.778659097628999,911.1231490347164,-1.1886285297901782,28
Na7Fe3O8,2,2.1599,2.971704676785728,510.1229059079129,-1.796171141851852,36
Li3TiF6,15,0.1577999999999999,2.727678968895749,667.2661473221744,-3.3875366552140007,60
K2In2As3,14,0.7807999999999997,4.117578758886344,1718.2890067342091,-0.4123574569285715,56
LiYb2Cl5,15,5.4727,5.085427056808477,346.3074426727385,-2.666649556829167,16
Li2TeO3,15,3.675,3.5623440574913,353.29465022955577,-2.029006818402777,24
Na6Ge2S7,15,2.4467,2.357191957890848,715.2679009417785,-1.2346266997916673,30
Na2Mn2S3,15,0.5011999999999999,2.695294850650081,621.1415651004083,-1.0838029357645738,28
Na4Ge2Te5,2,1.1111,4.090720557104214,710.5685464868408,-0.5887065925757572,22
Na2GeSe3,14,1.6256,3.547809137046041,665.5610255614405,-0.7602022689496527,24
K2TeSe3,14,1.9573,3.217212284340913,913.9363190268962,-0.7134394221718748,24
Li4P2O7,2,5.6175,2.247060735369704,298.1164560879004,-2.7520850468635536,26
Na3ErCl6,14,5.5044,2.880498237386225,517.6138442289852,-2.357139079956,20
Na2CS3,15,1.2757,1.9116151567994144,267.8683637878123,-0.8060303426736114,12
K3RhCl6,14,1.7025,2.5883632455147887,1110.9382225940096,-1.7940758356059998,40
K2GeSe4,14,1.7903,3.389613999948487,914.4813843462276,-0.7527866864821426,28
NaAuSe2,14,0.9312,6.183330760682199,405.9161292471232,-0.5023535220052082,16
K5SnBi3,14,0.0144999999999999,4.095422708065934,1526.3911268719207,-0.3494378722222227,36
KGaI4,14,2.6203000000000003,3.509591282623461,1166.655895962564,-0.8794534938333335,24
LiBeN,14,2.6955,1.9285630092214072,103.18471163005631,-1.002159633571111,12
LiIO4,14,2.1026,3.553146884954736,369.842460701158,-1.127973461388888,24
Li2CrCl4,15,0.5086000000000004,2.330723822966483,295.94027520352864,-1.7779654706723806,14
K2ZrTe3,14,0.415,4.067263071853834,901.8190989680304,-1.0153861814166667,24
Na4Sn3S8,15,1.6688999999999998,3.0932131863797667,756.5148786968106,-1.0906686732222215,30
Na4GeO4,2,2.8182,2.9917197575481653,253.7628812959397,-2.0278647203703706,18
Na3HoCl6,14,5.4945,2.854662744029393,519.5892372306824,-2.3563384809560004,20
K3ErCl6,14,5.1938,2.655325911616808,1243.899158381838,-2.486743371606,40
KGaCl4,14,4.604900000000001,2.2019322537122723,756.0384936261734,-1.8812406689233336,24
Na2Sb4O7,15,3.0951000000000004,4.298063896973801,498.3979735569921,-1.865225738108976,26
K6Si2O7,14,3.5108,2.5144244314835995,531.9651370364533,-2.49421654245,30
Na3CoO3,2,0.8574999999999999,2.947378532355494,198.20324108473727,-1.4533319683928576,14
KCO3,14,4.2352,2.0418284767180017,644.8000084546517,-1.7415281930999995,40
KPb2Br5,14,3.0674,5.242923569255034,1080.672028088317,-1.143225162875,32
Na2BeF4,14,6.7382,2.4117378044955284,360.7461189030882,-3.2861932202038098,28
NaNO,14,3.396,2.377376604036122,296.1304865487932,-1.1046474531544443,24
Li2TbF6,14,0.3369000000000002,4.657028813590377,409.04956274313423,-3.4085270312562965,36
K6Pb2O5,2,2.1281,3.880399306092533,623.9105643252349,-1.5225306907115383,26
KInS2,15,2.0103,3.080923329797001,940.1711388941062,-1.2707068720000003,32
K2Mo3O10,15,3.3526,3.3265026238808506,525.1528403886758,-2.1789503309,30
K2(TcSe2)3,15,0.9366,5.030946393420663,1116.882489374322,-0.7475619322784091,44
K3GaSe3,14,2.0915,3.0934533106832256,910.1789521358388,-1.0763976251473213,28
Li6Zr2O7,15,3.9436,3.4331864375737244,325.1150224047779,-2.8725432112500005,30
K2Ge2S5,15,2.3391,2.425900891910553,1050.8550497652984,-1.1343641362916663,36
K2PaF7,15,3.8952,4.5779693742235,320.80850206320406,-3.822045525933,20
KSbSe2,2,1.5739,4.007959984791155,528.2925206269668,-0.6859532144218745,16
K2ZrF6,15,5.5345,3.4121702210830778,275.8450128769613,-3.6811580725711113,18
K6Ti2O7,14,3.4473000000000003,2.4569619051732063,597.8838940696613,-2.559445311894445,30
KSO4,2,3.5587,2.2613596353204333,198.5000096590235,-1.8963821385208337,12
K4Fe2O5,14,0.7771999999999999,2.9774569003612195,388.251309592303,-1.0791043093863637,22
LiCoF4,14,1.9285,3.505376008701767,134.40899724309304,-2.439795754682222,12
NaB3O5,14,5.2407,2.1412391105770263,1260.2225477871086,-2.7967473531018503,108
Na2Si2O5,14,4.4545,2.4724922925723933,978.6500999741464,-2.913565948657408,72
Na3VF6,14,2.5442,2.932900046962641,264.8587534565536,-3.0854203262140003,20
Li2Mo4O13,2,2.3935,3.7689469280340098,800.4988674862784,-2.124829958048245,57
Na2PtO3,15,1.5696,6.799589982959462,282.36897268283843,-1.5092022975694448,24
KMnF4,14,2.1504000000000003,3.086423203364445,365.9140290436839,-2.974899640145862,24
K2Si4O9,2,4.4474,2.2407157174628733,495.8285813282025,-3.0762223564833326,30
LiAsO3,15,2.9619,3.456178317675293,249.5692198717028,-1.9602378564166671,20
Na3AlS3,14,2.907,2.010525631177555,1269.581166440218,-1.478346909732143,56
KPr3Te8,14,0.4765999999999994,5.881784890322674,1674.2880282119686,-1.15272772025,48
KTaTe3,14,0.4180999999999999,5.607998538235741,3570.0780812097096,-0.5720824702999999,100
K9InSe7,14,1.8682000000000003,2.890814473773396,2342.303505239119,-1.0499872379944852,68
KAuCl4,14,1.4211,3.3863224956858127,741.1926113220479,-1.30889785684,24
K2Ge2Se5,14,1.8032,3.33476194533696,2462.9582923008475,-0.6692947918298613,72
NaGa3Se5,19,1.5028,4.34582283116457,3832.975507684597,-0.7341088125752309,144
K3AgO2,19,1.8096,3.1275030023336936,2184.6303895340984,-1.1948204903194444,96
K2TcI6,14,0.7361,4.137562338807993,752.5978782558478,-0.7230443162222223,18
Na2TeSe3,15,1.3504000000000005,3.922703981658733,695.0145636523694,-0.6321145664496525,24
NaC4N3,2,3.5701,1.423451860575858,263.76497740767167,-0.0084682925591659,16
